CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4007750,09/12/2014 09:30:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of CESAR CHAVEZ ST and INDIANA ST,10,Central Waterfront,"(37.7501182941942, -122.390432980531)",Web Self Service,
4005651,09/12/2014 10:38:00 AM,,06/29/2015 10:47:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of SPRUCE ST and PACIFIC AVE,2,,"(37.7905616802399, -122.454242807109)",Voice In,
3993354,09/08/2014 08:00:00 PM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,"1745 YOSEMITE AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.728224098932, -122.394400319629)",Voice In,
3991858,09/08/2014 01:03:00 PM,,07/27/2015 06:07:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"51 DEDMAN CT, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.736765790076, -122.384676529795)",Voice In,
3959546,08/28/2014 08:41:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of JUNIPERO SERRA BLVD and HOLLOWAY AVE,11,Ingleside,"(37.7216605161995, -122.471983331695)",Voice In,
3958913,08/27/2014 08:44:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of BROADWAY and STOCKTON ST,3,North Beach,"(37.7976274366082, -122.40861884317)",Open311,
3952523,08/26/2014 09:04:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of MARKET ST and 7TH ST,6,Civic Center,"(37.7804786084846, -122.41251224905)",Voice In,
3945783,08/23/2014 09:19:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"3574 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",10,Portola,"(37.716736205471, -122.400021497967)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53f967d7df86f54504933630/report.jpg
3932726,08/19/2014 09:51:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"1657 MARKET ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77322333302, -122.421355771464)",Voice In,
3925193,08/17/2014 08:26:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of BAY SHORE BLVD ON RAMP and POTRERO AVE,9,Mission,"(37.7498544021639, -122.405623813695)",Voice In,
3923045,08/16/2014 08:18:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,"170 MAIDEN LN, SAN FRANCISCO, CA, 94108",3,Downtown / Union Square,"(37.788302636422, -122.406256838694)",Voice In,
3923030,08/16/2014 08:14:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"1907 OCEAN AVE, SAN FRANCISCO, CA, 94127",7,Ingleside Terraces,"(37.72524205403, -122.462414336262)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53f01e1edf86f5450492e977/report.jpg
3915470,08/13/2014 09:14:56 PM,,08/13/2014 09:14:56 PM,Open,,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of DOLORES ST and MARKET ST,8,Castro/Upper Market,"(37.7690422430629, -122.426858401469)",Open311,
3914702,08/13/2014 04:01:00 PM,,07/27/2015 06:07:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"32 LOIS LN, SAN FRANCISCO, CA, 94134",10,Little Hollywood,"(37.713524684905, -122.398935786931)",Voice In,
